ID,Age,Sex,LicTime,ActCar,Kids,PreferCar,Car15K,Reason,Cost,Reliable,Perform,Fuel,Safety,AC.PS,Park,Room,Doors,Prestige,Colour
151,43,1,312,3,3,3,2,2,3,4,2,3,4,2,2,3,3,1,1
152,23,1,72,1,4,2,1,3,3,4,3,3,4,1,3,2,1,1,1
153,41,1,204,3,3,3,2,1,4,4,3,3,4,4,4,4,4,2,2
156,18,1,36,2,3,2,2,6,3,4,4,4,4,2,3,4,3,4,4
241,19,2,12,2,4,2,1,1,3,3,3,4,4,2,2,3,3,3,3
242,22,2,48,1,3,3,2,3,4,4,3,3,4,2,2,3,2,3,2
243,22,1,48,1,4,1,1,2,4,3,3,3,3,1,2,3,1,2,2
245,27,2,108,1,4,2,2,5,3,4,3,3,3,3,2,3,2,2,2
246,37,2,240,3,3,3,2,4,3,4,3,3,4,3,3,4,3,2,2
248,23,2,60,1,4,2,2,2,4,4,3,3,4,2,3,3,2,2,2
249,25,2,84,2,1,3,2,1,4,4,3,3,4,3,1,3,1,1,1
8,23,1,84,2,3,3,2,1,4,4,4,3,4,3,3,4,3,2,1
14,51,1,408,2,2,3,1,1,3,4,4,3,4,4,3,3,4,2,4
20,21,1,60,2,4,3,2,4,4,4,4,4,3,4,3,4,4,4,4
39,60,2,480,3,4,1,1,1,3,4,4,3,4,1,1,2,1,1,1
41,51,2,420,1,3,1,1,5,4,3,1,3,3,3,3,1,1,1,1
42,31,1,156,1,4,1,1,2,4,4,4,3,3,3,3,3,2,1,1
43,32,2,168,2,4,3,2,2,4,4,4,4,4,3,3,4,2,2,3
44,25,1,84,1,4,1,2,6,4,3,2,3,3,3,3,2,2,3,3
45,51,1,408,2,4,2,2,1,2,4,4,4,4,3,3,3,3,2,2
46,48,1,384,3,4,1,1,6,3,3,3,3,3,3,3,3,3,3,3
47,60,1,300,1,4,2,1,2,4,4,4,4,4,4,4,3,3,4,4
49,64,2,552,3,3,3,2,2,4,3,4,4,4,4,3,4,4,4,1
50,50,1,336,2,4,1,1,5,4,4,4,4,4,4,4,3,3,2,4
51,25,1,84,2,4,2,2,2,3,4,4,3,4,3,2,3,3,1,1
289,22,2,48,2,4,2,1,5,4,3,3,4,4,3,3,3,2,2,2
259,36,1,216,3,3,2,2,3,3,4,3,3,4,4,3,4,4,3,3
260,23,1,48,1,4,1,2,4,3,3,4,3,4,1,2,3,1,2,1
290,18,1,10,1,4,2,1,4,3,4,4,4,3,2,2,3,1,1,1
261,63,2,552,3,4,4,2,4,3,4,3,3,3,4,2,3,4,1,2
292,36,2,228,1,4,1,1,3,4,4,2,3,4,2,2,3,2,1,1
296,19,2,24,1,4,2,1,1,3,4,3,3,3,2,3,2,2,2,2
270,57,1,468,3,4,3,1,6,3,4,4,3,4,4,4,4,4,2,3
297,18,2,10,2,4,2,2,1,3,3,3,2,4,2,1,3,2,3,1
276,49,1,396,3,4,2,2,1,3,4,4,4,4,4,4,4,4,3,2
277,31,2,144,3,4,3,2,5,4,4,4,4,4,4,3,4,4,2,2
299,61,2,516,1,4,2,2,1,3,4,3,3,4,3,3,3,3,2,2
278,25,2,84,1,4,2,1,3,4,4,4,4,3,1,1,3,1,1,2
300,43,2,300,1,3,1,1,3,4,4,2,3,3,1,3,1,1,1,1
279,34,2,204,3,4,3,2,5,4,4,4,2,4,4,2,4,3,3,3
280,29,2,139,2,4,2,2,2,3,4,3,3,3,3,1,3,3,3,3
281,27,1,108,2,4,3,1,2,4,4,4,3,3,4,4,4,3,3,2
282,30,1,144,2,4,2,1,4,4,4,3,3,4,2,2,3,4,2,3
301,39,1,132,3,3,3,2,1,3,4,4,4,4,4,3,3,4,3,1
302,24,1,36,1,4,2,1,5,2,4,4,2,4,3,3,3,4,3,4
304,55,2,456,3,3,3,1,6,1,4,4,2,4,4,4,2,1,2,2
305,18,1,5,1,4,2,1,2,3,4,4,4,3,2,2,3,1,2,2
326,42,1,276,3,4,2,1,1,3,4,4,4,4,4,3,3,3,2,3
327,24,2,84,2,4,4,2,6,4,4,4,3,3,4,4,2,2,4,4
306,60,2,516,3,4,2,1,5,2,4,4,4,4,4,4,4,4,2,3
328,27,2,120,1,4,4,2,4,4,4,4,2,3,3,2,1,1,3,1
319,18,2,8,1,4,3,1,4,4,3,4,3,2,2,2,4,3,4,4
320,43,1,312,3,3,3,2,4,4,4,3,3,3,4,2,4,1,1,2
342,23,1,72,2,4,2,2,5,4,4,3,3,4,1,3,3,3,1,2
321,18,2,6,1,4,4,2,2,3,4,3,2,3,1,1,1,1,1,1
343,45,1,336,3,2,1,1,1,3,4,4,4,4,4,4,4,3,2,2
344,67,1,600,3,4,2,1,2,3,4,4,4,3,2,2,2,1,1,1
322,21,2,36,2,4,3,2,5,4,3,3,3,3,2,1,3,1,3,2
325,19,2,11,1,3,1,1,1,4,4,4,4,3,2,3,3,3,2,2
350,36,2,204,3,4,3,2,3,4,4,3,3,3,4,2,3,3,2,2
351,42,1,300,3,2,3,2,3,4,4,3,3,3,4,2,3,3,2,2
352,24,2,72,1,4,1,1,3,4,4,3,4,2,1,2,2,2,2,4
353,42,1,288,3,2,2,1,5,3,4,4,4,4,4,3,3,3,2,2
354,44,2,324,3,2,3,1,5,3,4,2,3,4,4,1,3,3,1,1
355,44,2,324,3,4,3,2,1,3,4,4,3,4,3,3,4,3,2,2
368,56,2,468,3,3,3,2,1,1,4,4,4,4,3,4,4,3,1,3
363,19,2,12,1,4,1,1,3,4,4,3,4,2,2,2,3,4,1,1
371,39,2,216,1,3,2,1,3,4,4,3,4,3,2,3,3,3,2,2
364,20,2,24,1,4,2,2,2,3,4,3,3,3,2,2,3,2,3,3
365,25,2,96,2,4,2,1,3,4,4,3,3,4,4,2,3,2,3,2
372,20,2,48,2,4,2,2,2,4,3,3,3,4,3,3,1,1,3,3
366,19,2,2,2,4,2,1,3,4,4,3,3,3,1,2,2,3,3,2
373,45,1,336,3,3,2,1,5,3,4,4,3,4,4,4,4,4,4,3
374,21,2,36,2,4,1,2,2,4,4,2,3,1,1,1,2,1,2,2
375,46,1,348,2,3,1,1,2,3,4,4,1,4,4,4,3,3,3,3
376,66,2,588,2,1,2,1,2,3,4,3,3,3,4,3,3,3,1,3
381,72,2,660,3,4,3,2,5,4,4,4,4,4,4,4,4,4,3,3
379,50,1,396,3,4,2,1,5,4,4,4,4,4,4,4,3,3,2,2
382,28,1,120,3,4,2,1,4,4,3,4,4,2,4,2,3,3,4,2
157,55,2,444,3,4,2,1,1,3,4,3,3,4,4,3,3,3,2,3
158,39,1,264,3,1,3,2,1,3,4,3,4,4,2,2,3,3,3,2
159,20,1,24,2,4,3,2,4,4,3,4,4,3,2,2,3,1,3,2
160,19,2,12,1,3,2,2,3,3,4,3,3,4,4,4,2,2,2,2
161,60,2,504,3,1,3,1,1,3,3,3,3,3,1,3,1,3,1,2
162,25,1,84,1,4,1,1,1,3,4,4,3,3,2,3,3,2,2,2
163,48,1,228,2,4,1,1,5,4,4,3,3,4,3,3,3,3,3,2
164,23,2,60,3,4,3,2,3,3,4,3,3,4,3,3,2,2,2,1
167,36,1,216,1,4,2,2,1,3,4,3,3,4,4,3,3,3,2,4
168,32,1,180,1,4,2,1,5,3,4,3,4,4,4,3,3,3,3,2
169,23,1,60,1,4,2,2,4,3,4,4,3,3,3,3,3,3,3,4
170,19,2,24,1,4,2,1,1,4,4,2,4,4,3,3,1,2,3,1
171,21,2,24,2,3,2,1,1,4,4,3,3,4,2,2,3,1,1,1
175,26,2,108,2,4,3,2,2,3,4,3,4,2,2,3,3,1,1,2
176,21,1,24,1,4,2,1,5,3,4,4,4,4,2,3,3,1,2,2
177,18,2,6,2,4,2,2,2,3,4,4,4,4,3,3,4,2,2,2
178,27,2,120,1,4,1,1,3,4,4,3,3,4,2,2,2,1,3,2
179,35,1,204,1,3,2,1,5,3,4,4,3,4,2,4,4,2,2,3
180,18,1,10,2,3,1,2,3,4,3,3,2,2,2,1,1,3,1,1
181,23,1,60,3,3,1,2,1,4,4,4,4,4,3,3,3,2,3,2
182,20,1,36,1,4,1,1,1,4,4,3,4,4,4,3,3,3,2,3
183,22,2,48,1,4,2,2,3,4,4,4,4,4,3,3,3,4,2,3
184,19,2,12,1,4,1,1,4,3,4,4,4,4,2,3,3,1,2,3
185,32,1,168,2,2,3,2,1,3,4,3,3,4,3,2,3,3,1,2
186,19,1,12,1,4,2,1,4,3,4,3,3,4,2,3,2,2,1,1
187,21,1,36,2,4,2,1,1,3,4,4,3,4,3,3,3,2,2,1
189,63,2,516,3,3,3,2,1,2,4,4,4,4,3,1,3,4,2,3
190,42,2,288,2,3,3,2,1,4,4,3,2,3,4,4,4,3,4,3
52,28,2,132,2,4,2,2,2,3,4,3,3,3,3,3,3,4,2,2
55,25,1,60,1,4,2,2,1,3,4,4,4,4,3,2,3,2,4,4
58,25,1,84,1,2,2,1,1,4,4,3,4,4,3,2,2,4,1,1
60,50,1,396,3,3,3,2,5,3,3,3,3,4,3,2,3,3,4,3
63,55,1,456,2,4,2,2,1,4,4,4,2,4,1,3,2,2,1,1
65,49,1,384,3,2,2,2,6,3,3,1,3,4,4,3,3,1,1,1
67,18,2,4,3,4,4,2,2,3,4,3,3,3,2,2,2,2,1,1
68,18,2,12,2,3,2,1,1,3,4,3,4,4,2,3,3,1,2,3
69,49,1,360,3,4,4,1,4,3,4,4,4,3,3,2,3,3,1,2
70,46,1,372,1,3,3,2,1,3,3,2,2,4,4,4,4,3,3,3
71,24,1,60,1,4,2,1,4,4,4,4,4,4,4,3,3,4,3,3
72,37,2,264,2,2,3,2,2,2,4,2,3,2,2,3,4,3,1,1
73,22,2,48,3,4,2,2,1,3,3,3,3,3,4,3,2,2,1,1
74,35,2,24,2,2,2,2,2,3,4,4,3,4,2,1,3,3,1,1
191,61,1,360,3,4,3,2,6,3,4,3,2,4,4,2,3,4,3,2
192,67,2,420,2,3,2,1,3,4,4,4,4,4,3,3,3,4,2,2
193,32,2,204,3,3,2,2,5,3,4,2,3,4,4,3,3,3,2,2
194,34,1,192,3,3,1,1,1,3,4,4,4,4,3,3,3,3,3,3
195,42,2,264,2,3,3,2,2,4,4,3,3,2,4,2,3,2,3,1
196,60,1,408,1,4,1,1,1,3,4,4,4,4,3,3,3,3,1,1
197,21,1,24,3,3,4,2,1,4,4,4,4,4,2,2,4,2,2,2
198,28,2,120,1,4,4,2,6,4,4,3,3,2,2,3,4,2,3,2
199,19,1,24,2,4,1,1,2,4,4,3,3,3,2,3,2,1,3,2
200,27,1,108,3,4,4,1,2,3,4,3,3,4,3,3,3,2,2,2
202,43,1,312,1,4,3,1,6,4,4,4,3,3,4,4,3,3,3,4
204,18,1,6,3,4,1,1,1,4,4,4,4,4,3,3,3,2,3,3
205,73,2,588,2,4,2,2,3,4,4,2,4,4,4,3,3,3,2,3
206,29,1,48,2,4,4,1,1,2,4,4,3,4,3,3,3,2,2,3
207,74,2,684,3,4,3,2,2,3,4,4,2,3,4,2,4,4,2,3
208,47,1,192,2,4,2,2,5,4,4,4,4,4,4,3,4,4,3,4
209,50,1,360,2,4,2,1,1,2,4,4,4,4,4,4,4,4,4,2
210,38,1,216,2,3,1,1,1,3,4,4,3,4,4,4,3,4,2,2
211,18,2,7,2,3,3,2,3,4,4,3,3,3,3,2,3,3,2,2
212,71,1,600,2,4,2,2,6,3,4,4,4,4,4,4,4,2,2,2
213,45,1,336,1,4,1,1,4,4,4,4,4,3,3,3,3,1,1,3
214,50,1,276,1,3,2,2,1,4,4,3,4,4,3,3,3,3,2,3
215,45,1,324,1,4,1,1,1,4,4,4,4,4,4,3,3,2,2,2
216,48,1,288,1,4,1,1,5,3,4,3,4,4,4,3,2,3,1,3
217,24,1,72,1,4,2,2,5,4,4,4,3,4,4,4,4,4,2,1
218,18,1,2,2,3,1,1,3,4,4,4,4,3,2,2,3,1,1,1
219,49,2,372,3,3,3,2,4,2,4,4,2,4,4,1,4,3,3,1
220,27,2,108,1,3,3,1,6,1,4,4,1,4,4,4,4,1,2,4
221,43,1,288,3,4,2,2,1,3,3,3,4,4,1,3,3,3,2,3
222,18,2,10,2,4,2,1,2,3,4,3,3,4,2,3,3,3,2,2
223,24,2,72,1,2,2,2,6,3,3,4,3,3,2,2,3,3,3,2
224,19,1,12,1,4,2,1,2,3,4,4,4,4,4,3,3,3,2,2
228,46,2,348,3,3,2,1,3,3,4,3,3,4,3,1,2,4,2,2
230,38,1,240,1,4,1,1,2,3,4,4,3,4,3,4,4,2,1,1
233,48,1,336,2,3,2,1,4,3,4,4,3,4,4,4,3,3,3,3
235,26,1,96,3,4,3,2,5,3,4,4,4,4,3,3,4,4,3,2
236,46,1,264,2,4,2,2,6,3,4,4,4,3,4,3,3,1,3,2
238,68,2,420,2,2,2,2,2,4,4,3,3,3,4,4,3,3,1,3
239,67,2,600,3,4,3,2,6,4,4,4,4,4,2,4,4,4,3,2
240,21,2,36,3,4,3,2,4,4,4,4,2,3,4,1,3,3,3,1
75,51,1,420,1,4,2,2,1,1,3,2,3,4,3,3,2,3,1,4
76,22,2,72,1,4,1,1,4,1,4,4,1,3,2,2,3,2,3,2
77,21,2,48,2,4,4,2,2,3,4,4,4,2,2,3,4,1,3,3
78,43,1,312,1,4,2,1,1,3,4,3,4,3,4,3,3,4,3,2
79,22,2,36,3,4,3,2,5,4,4,3,3,3,3,2,3,3,2,3
80,20,2,36,2,4,2,1,4,4,4,3,4,4,4,3,3,4,1,2
81,36,2,204,1,3,1,1,4,3,3,3,3,2,2,3,3,3,1,2
83,52,1,324,2,4,2,2,1,3,4,4,3,4,4,3,3,3,1,2
84,18,2,12,3,4,1,2,2,3,4,3,2,4,1,1,3,1,3,3
85,18,2,2,2,3,2,2,4,3,3,4,3,3,2,2,3,4,1,1
86,24,2,60,2,4,4,2,2,4,2,2,3,3,1,1,4,2,1,1
87,20,1,24,1,4,1,1,2,3,4,3,4,4,2,3,3,2,2,2
88,18,1,7,2,1,1,1,2,3,4,4,4,4,3,4,3,2,3,3
89,46,1,312,2,4,2,1,1,3,4,3,4,4,3,4,3,4,3,3
90,21,1,48,1,4,1,2,1,4,4,3,4,4,3,3,3,3,3,4
91,20,2,24,2,4,2,2,3,4,4,3,3,2,1,1,2,1,4,1
92,18,1,1,1,2,1,1,2,3,4,3,3,4,2,3,2,2,2,3
93,18,2,24,3,3,3,2,5,3,4,3,2,3,3,2,3,1,1,2
94,19,1,24,1,3,3,1,2,3,4,3,3,4,1,2,2,1,1,1
250,21,2,36,1,4,3,2,4,4,4,4,3,3,4,3,3,1,3,3
251,22,2,42,1,4,1,1,4,3,4,3,3,3,2,2,3,2,2,2
252,20,2,18,2,4,4,2,6,2,3,4,2,3,2,2,3,4,2,4
253,49,2,360,3,2,4,1,5,3,4,4,3,4,4,1,4,1,1,1
283,22,2,48,2,4,3,2,3,4,4,2,3,4,2,3,2,2,2,1
254,19,2,12,2,3,2,1,5,3,4,3,4,4,3,3,4,2,2,2
356,48,2,372,3,3,3,2,3,4,4,4,4,4,2,2,3,2,1,3
357,19,1,12,3,4,2,1,1,3,4,3,3,4,3,4,3,2,2,2
358,70,2,624,2,4,2,1,1,3,4,4,4,4,3,3,3,4,2,1
359,55,1,348,3,4,2,2,1,3,4,3,4,4,3,2,4,3,3,3
361,37,2,240,2,4,2,2,5,2,4,4,3,4,4,3,3,4,1,1
367,21,2,36,1,4,1,2,3,2,3,4,2,3,1,1,1,1,3,1
362,23,2,60,2,3,2,2,5,4,3,4,4,4,3,2,4,3,2,2
383,24,1,84,1,4,2,2,6,3,4,4,4,4,4,4,4,4,4,3
380,62,2,300,1,4,1,1,1,4,4,4,4,4,4,4,3,3,3,3
384,26,2,96,1,4,4,1,5,4,4,3,3,3,3,2,3,4,2,3
385,56,1,468,1,2,2,1,3,3,4,3,3,4,4,3,3,3,2,3
386,27,1,108,2,4,2,2,6,3,4,4,3,4,3,2,3,2,3,3
387,27,2,120,1,4,2,2,4,3,4,4,3,4,4,3,3,2,3,3
388,30,1,144,3,4,2,1,6,4,4,4,4,4,4,2,4,4,4,4
389,66,1,480,2,4,3,2,1,4,4,4,4,4,4,4,4,4,4,4
390,48,1,252,3,4,2,1,1,3,4,2,2,4,3,1,3,3,2,2
391,21,1,36,3,4,2,1,3,4,4,2,3,3,3,3,1,1,1,3
392,20,2,10,3,4,3,1,1,4,4,4,4,4,4,4,4,4,4,4
393,30,2,150,1,4,3,2,6,4,4,4,3,4,4,4,4,4,4,4
95,55,2,444,2,4,2,2,5,3,3,3,3,2,3,3,3,2,2,2
96,20,1,24,2,4,2,2,1,3,4,2,4,4,3,3,3,3,2,2
97,26,1,96,1,4,1,1,1,4,4,3,3,4,3,3,3,2,3,4
99,25,2,96,1,4,4,1,3,4,4,2,3,4,2,3,3,2,1,1
100,37,1,228,3,3,3,2,4,4,4,3,4,4,4,3,3,4,1,1
101,40,1,264,2,3,2,2,3,4,4,4,3,3,4,4,3,2,1,1
102,22,2,48,3,4,3,2,3,3,4,3,2,4,1,2,4,2,2,1
103,22,1,24,3,4,2,2,1,3,4,4,2,4,2,3,3,3,1,1
104,51,1,372,3,4,2,2,6,3,4,4,3,4,4,4,4,4,3,4
105,24,2,72,1,4,1,2,5,3,4,4,3,3,1,3,3,1,2,2
106,22,1,48,2,4,2,2,3,3,4,3,4,4,4,2,4,2,1,1
107,23,1,60,1,2,1,1,3,4,3,3,3,4,4,4,3,1,2,2
108,18,2,1,2,3,1,1,3,4,3,3,4,3,2,3,2,2,1,1
109,26,1,96,3,4,2,1,1,3,4,4,3,4,3,3,3,3,2,1
255,18,1,6,2,4,1,1,5,4,4,4,4,4,4,3,2,2,2,3
285,36,1,252,1,4,1,1,5,3,4,4,4,4,2,4,3,4,1,3
256,24,1,72,2,4,2,2,2,3,4,3,4,4,3,3,3,3,2,2
257,26,2,120,1,4,2,2,2,3,4,3,3,3,3,2,3,2,2,2
287,44,1,300,2,4,2,2,5,1,4,3,4,4,4,4,3,3,4,3
258,20,2,24,1,4,1,1,2,3,4,2,2,3,1,2,2,2,2,2
262,65,2,564,2,4,2,2,2,3,4,3,4,4,3,3,3,2,2,3
294,20,2,24,1,3,2,2,2,4,4,2,4,2,1,1,4,4,1,1
263,65,1,312,3,2,3,1,6,4,4,4,4,4,4,4,4,4,3,3
295,20,2,36,3,4,1,1,2,4,3,3,4,3,2,3,3,2,1,2
264,44,1,312,2,3,2,2,1,3,4,3,4,4,3,3,3,3,2,2
267,28,2,120,3,4,2,2,1,4,4,3,3,4,3,2,2,2,1,2
329,47,2,360,1,4,1,1,1,3,4,4,3,4,3,4,3,2,1,3
307,40,1,228,2,3,1,1,1,4,4,3,4,4,4,4,3,1,1,1
331,25,2,108,1,4,2,2,6,4,4,4,4,1,4,2,2,3,4,3
332,18,2,6,2,4,2,2,2,4,4,3,3,2,2,2,4,3,2,3
308,42,1,288,3,4,2,2,2,3,4,3,3,4,4,4,3,3,2,3
309,24,2,84,2,4,3,2,2,3,3,3,2,3,1,1,3,1,2,2
333,52,2,420,3,3,3,1,2,4,4,4,4,4,2,4,4,3,1,1
311,36,1,204,3,3,2,1,1,3,4,3,4,4,3,3,3,3,2,2
334,24,1,60,2,4,3,2,5,3,4,4,3,4,3,4,3,2,2,2
335,21,2,24,2,4,2,1,6,4,3,3,4,2,3,3,3,4,2,2
312,27,2,120,2,3,2,2,1,2,4,4,3,4,3,2,3,4,4,2
337,50,2,396,3,4,4,1,2,3,4,2,3,3,4,1,2,1,1,1
315,19,2,12,1,4,4,2,3,3,4,2,3,3,1,2,3,2,2,1
338,18,2,1,2,3,1,1,2,4,4,3,4,3,2,4,3,3,1,2
339,32,1,168,3,4,4,2,1,4,4,3,4,4,3,4,4,2,2,1
316,22,1,36,1,4,1,1,2,4,4,4,4,3,2,3,2,3,2,2
340,38,1,240,3,3,1,2,3,3,4,3,3,3,3,4,4,3,1,1
341,40,2,276,3,4,3,2,2,3,4,4,4,4,4,3,4,4,3,1
317,24,2,24,2,4,2,2,3,4,4,3,3,3,2,2,2,3,1,1
318,23,1,60,2,4,2,1,2,3,4,4,4,3,2,3,3,2,2,1
345,69,1,468,3,4,3,1,5,3,3,3,3,4,4,3,3,3,2,3
323,39,2,84,1,3,2,1,5,4,4,4,3,4,3,2,4,3,1,3
347,75,2,528,3,4,3,1,1,4,4,4,3,4,4,2,2,3,3,3
324,19,2,3,3,2,1,1,6,4,4,4,4,3,2,1,4,1,1,1
348,43,1,312,3,4,2,2,4,4,4,3,3,4,4,4,3,4,3,3
349,55,2,456,3,4,4,1,3,3,4,3,3,4,3,3,3,3,2,3
