"ID" "Age" "Sex" "LicTime" "ActCar" "Kids5" "Kids6" "PreferCar" "Car15K" "Reason" "Cost" "Reliable" "Perform" "Fuel" "Safety" "AC.PS" "Park" "Room" "Doors" "Prestige" "Colour"
"35" "138" "18" "2" "4" "1" "2" "2" "1" "1" "4" "2" "4" "3" "4" "4" "2" "3" "3" "4" "3" "2"
"36" "139" "22" "2" "48" "1" "2" "1" "1" "1" "3" "4" "3" "3" "3" "3" "3" "2" "3" "3" "2" "2"
"37" "140" "20" "1" "24" "2" "2" "2" "1" "1" "1" "4" "4" "3" "3" "4" "3" "4" "2" "2" "1" "1"
"38" "141" "23" "1" "60" "1" "2" "2" "1" "1" "5" "4" "4" "3" "4" "4" "4" "4" "3" "2" "3" "3"
"39" "142" "34" "1" "3" "2" "2" "1" "2" "2" "1" "3" "4" "4" "3" "4" "2" "2" "3" "2" "1" "1"
"40" "143" "21" "1" "36" "2" "2" "1" "2" "2" "3" "4" "4" "3" "4" "4" "1" "2" "4" "1" "2" "2"
"41" "144" "20" "2" "24" "2" "2" "2" "2" "2" "5" "4" "4" "4" "3" "3" "4" "4" "3" "2" "2" "3"
"42" "149" "24" "1" "72" "1" "2" "1" "1" "1" "2" "2" "4" "4" "4" "3" "2" "3" "2" "2" "3" "3"
"43" "150" "23" "2" "60" "3" "2" "2" "2" "2" "4" "3" "4" "3" "3" "4" "2" "3" "3" "3" "2" "3"
"44" "151" "43" "1" "312" "3" "2" "1" "3" "2" "2" "3" "4" "2" "3" "4" "2" "2" "3" "3" "1" "1"
"45" "152" "23" "1" "72" "1" "2" "2" "2" "1" "3" "3" "4" "3" "3" "4" "1" "3" "2" "1" "1" "1"
"46" "153" "41" "1" "204" "3" "2" "1" "3" "2" "1" "4" "4" "3" "3" "4" "4" "4" "4" "4" "2" "2"
"47" "156" "18" "1" "36" "2" "2" "1" "2" "2" "6" "3" "4" "4" "4" "4" "2" "3" "4" "3" "4" "4"
"48" "241" "19" "2" "12" "2" "2" "2" "2" "1" "1" "3" "3" "3" "4" "4" "2" "2" "3" "3" "3" "3"
"49" "242" "22" "2" "48" "1" "2" "1" "3" "2" "3" "4" "4" "3" "3" "4" "2" "2" "3" "2" "3" "2"
"50" "243" "22" "1" "48" "1" "2" "2" "1" "1" "2" "4" "3" "3" "3" "3" "1" "2" "3" "1" "2" "2"
"51" "245" "27" "2" "108" "1" "2" "2" "2" "2" "5" "3" "4" "3" "3" "3" "3" "2" "3" "2" "2" "2"
"52" "246" "37" "2" "240" "3" "2" "1" "3" "2" "4" "3" "4" "3" "3" "4" "3" "3" "4" "3" "2" "2"
"53" "248" "23" "2" "60" "1" "2" "2" "2" "2" "2" "4" "4" "3" "3" "4" "2" "3" "3" "2" "2" "2"
"54" "249" "25" "2" "84" "2" "1" "1" "3" "2" "1" "4" "4" "3" "3" "4" "3" "1" "3" "1" "1" "1"
"55" "8" "23" "1" "84" "2" "2" "1" "3" "2" "1" "4" "4" "4" "3" "4" "3" "3" "4" "3" "2" "1"
"56" "14" "51" "1" "408" "2" "1" "2" "3" "1" "1" "3" "4" "4" "3" "4" "4" "3" "3" "4" "2" "4"
"57" "20" "21" "1" "60" "2" "2" "2" "3" "2" "4" "4" "4" "4" "4" "3" "4" "3" "4" "4" "4" "4"
"58" "39" "60" "2" "480" "3" "2" "2" "1" "1" "1" "3" "4" "4" "3" "4" "1" "1" "2" "1" "1" "1"
"59" "41" "51" "2" "420" "1" "2" "1" "1" "1" "5" "4" "3" "1" "3" "3" "3" "3" "1" "1" "1" "1"
"60" "42" "31" "1" "156" "1" "2" "2" "1" "1" "2" "4" "4" "4" "3" "3" "3" "3" "3" "2" "1" "1"
"61" "43" "32" "2" "168" "2" "2" "2" "3" "2" "2" "4" "4" "4" "4" "4" "3" "3" "4" "2" "2" "3"
"62" "44" "25" "1" "84" "1" "2" "2" "1" "2" "6" "4" "3" "2" "3" "3" "3" "3" "2" "2" "3" "3"
"63" "45" "51" "1" "408" "2" "2" "2" "2" "2" "1" "2" "4" "4" "4" "4" "3" "3" "3" "3" "2" "2"
"64" "46" "48" "1" "384" "3" "2" "2" "1" "1" "6" "3" "3" "3" "3" "3" "3" "3" "3" "3" "3" "3"
"65" "47" "60" "1" "300" "1" "2" "2" "2" "1" "2" "4" "4" "4" "4" "4" "4" "4" "3" "3" "4" "4"
"66" "49" "64" "2" "552" "3" "2" "1" "3" "2" "2" "4" "3" "4" "4" "4" "4" "3" "4" "4" "4" "1"
"67" "50" "50" "1" "336" "2" "2" "2" "1" "1" "5" "4" "4" "4" "4" "4" "4" "4" "3" "3" "2" "4"
"68" "51" "25" "1" "84" "2" "2" "2" "2" "2" "2" "3" "4" "4" "3" "4" "3" "2" "3" "3" "1" "1"
"69" "289" "22" "2" "48" "2" "2" "2" "2" "1" "5" "4" "3" "3" "4" "4" "3" "3" "3" "2" "2" "2"
"70" "259" "36" "1" "216" "3" "2" "1" "2" "2" "3" "3" "4" "3" "3" "4" "4" "3" "4" "4" "3" "3"
"71" "260" "23" "1" "48" "1" "2" "2" "1" "2" "4" "3" "3" "4" "3" "4" "1" "2" "3" "1" "2" "1"
"72" "290" "18" "1" "10" "1" "2" "2" "2" "1" "4" "3" "4" "4" "4" "3" "2" "2" "3" "1" "1" "1"
"73" "261" "63" "2" "552" "3" "2" "2" "4" "2" "4" "3" "4" "3" "3" "3" "4" "2" "3" "4" "1" "2"
"74" "292" "36" "2" "228" "1" "2" "2" "1" "1" "3" "4" "4" "2" "3" "4" "2" "2" "3" "2" "1" "1"
"75" "296" "19" "2" "24" "1" "2" "2" "2" "1" "1" "3" "4" "3" "3" "3" "2" "3" "2" "2" "2" "2"
"76" "270" "57" "1" "468" "3" "2" "2" "3" "1" "6" "3" "4" "4" "3" "4" "4" "4" "4" "4" "2" "3"
"77" "297" "18" "2" "10" "2" "2" "2" "2" "2" "1" "3" "3" "3" "2" "4" "2" "1" "3" "2" "3" "1"
"78" "276" "49" "1" "396" "3" "2" "2" "2" "2" "1" "3" "4" "4" "4" "4" "4" "4" "4" "4" "3" "2"
"79" "277" "31" "2" "144" "3" "2" "2" "3" "2" "5" "4" "4" "4" "4" "4" "4" "3" "4" "4" "2" "2"
"80" "299" "61" "2" "516" "1" "2" "2" "2" "2" "1" "3" "4" "3" "3" "4" "3" "3" "3" "3" "2" "2"
"81" "278" "25" "2" "84" "1" "2" "2" "2" "1" "3" "4" "4" "4" "4" "3" "1" "1" "3" "1" "1" "2"
"82" "300" "43" "2" "300" "1" "2" "1" "1" "1" "3" "4" "4" "2" "3" "3" "1" "3" "1" "1" "1" "1"
"83" "279" "34" "2" "204" "3" "2" "2" "3" "2" "5" "4" "4" "4" "2" "4" "4" "2" "4" "3" "3" "3"
"84" "280" "29" "2" "139" "2" "2" "2" "2" "2" "2" "3" "4" "3" "3" "3" "3" "1" "3" "3" "3" "3"
"85" "281" "27" "1" "108" "2" "2" "2" "3" "1" "2" "4" "4" "4" "3" "3" "4" "4" "4" "3" "3" "2"
"86" "282" "30" "1" "144" "2" "2" "2" "2" "1" "4" "4" "4" "3" "3" "4" "2" "2" "3" "4" "2" "3"
"87" "301" "39" "1" "132" "3" "2" "1" "3" "2" "1" "3" "4" "4" "4" "4" "4" "3" "3" "4" "3" "1"
"88" "302" "24" "1" "36" "1" "2" "2" "2" "1" "5" "2" "4" "4" "2" "4" "3" "3" "3" "4" "3" "4"
"89" "304" "55" "2" "456" "3" "2" "1" "3" "1" "6" "1" "4" "4" "2" "4" "4" "4" "2" "1" "2" "2"
"90" "305" "18" "1" "5" "1" "2" "2" "2" "1" "2" "3" "4" "4" "4" "3" "2" "2" "3" "1" "2" "2"
"91" "326" "42" "1" "276" "3" "2" "2" "2" "1" "1" "3" "4" "4" "4" "4" "4" "3" "3" "3" "2" "3"
"92" "327" "24" "2" "84" "2" "2" "2" "4" "2" "6" "4" "4" "4" "3" "3" "4" "4" "2" "2" "4" "4"
"93" "306" "60" "2" "516" "3" "2" "2" "2" "1" "5" "2" "4" "4" "4" "4" "4" "4" "4" "4" "2" "3"
"94" "328" "27" "2" "120" "1" "2" "2" "4" "2" "4" "4" "4" "4" "2" "3" "3" "2" "1" "1" "3" "1"
"95" "319" "18" "2" "8" "1" "2" "2" "3" "1" "4" "4" "3" "4" "3" "2" "2" "2" "4" "3" "4" "4"
"96" "320" "43" "1" "312" "3" "2" "1" "3" "2" "4" "4" "4" "3" "3" "3" "4" "2" "4" "1" "1" "2"
"97" "342" "23" "1" "72" "2" "2" "2" "2" "2" "5" "4" "4" "3" "3" "4" "1" "3" "3" "3" "1" "2"
"98" "321" "18" "2" "6" "1" "2" "2" "4" "2" "2" "3" "4" "3" "2" "3" "1" "1" "1" "1" "1" "1"
"99" "343" "45" "1" "336" "3" "1" "2" "1" "1" "1" "3" "4" "4" "4" "4" "4" "4" "4" "3" "2" "2"
"100" "344" "67" "1" "600" "3" "2" "2" "2" "1" "2" "3" "4" "4" "4" "3" "2" "2" "2" "1" "1" "1"
"101" "322" "21" "2" "36" "2" "2" "2" "3" "2" "5" "4" "3" "3" "3" "3" "2" "1" "3" "1" "3" "2"
"102" "325" "19" "2" "11" "1" "2" "1" "1" "1" "1" "4" "4" "4" "4" "3" "2" "3" "3" "3" "2" "2"
"103" "350" "36" "2" "204" "3" "2" "2" "3" "2" "3" "4" "4" "3" "3" "3" "4" "2" "3" "3" "2" "2"
"104" "351" "42" "1" "300" "3" "1" "2" "3" "2" "3" "4" "4" "3" "3" "3" "4" "2" "3" "3" "2" "2"
"105" "352" "24" "2" "72" "1" "2" "2" "1" "1" "3" "4" "4" "3" "4" "2" "1" "2" "2" "2" "2" "4"
"106" "353" "42" "1" "288" "3" "1" "2" "2" "1" "5" "3" "4" "4" "4" "4" "4" "3" "3" "3" "2" "2"
"107" "354" "44" "2" "324" "3" "1" "2" "3" "1" "5" "3" "4" "2" "3" "4" "4" "1" "3" "3" "1" "1"
"108" "355" "44" "2" "324" "3" "2" "2" "3" "2" "1" "3" "4" "4" "3" "4" "3" "3" "4" "3" "2" "2"
"109" "368" "56" "2" "468" "3" "2" "1" "3" "2" "1" "1" "4" "4" "4" "4" "3" "4" "4" "3" "1" "3"
"110" "363" "19" "2" "12" "1" "2" "2" "1" "1" "3" "4" "4" "3" "4" "2" "2" "2" "3" "4" "1" "1"
"111" "371" "39" "2" "216" "1" "2" "1" "2" "1" "3" "4" "4" "3" "4" "3" "2" "3" "3" "3" "2" "2"
"112" "364" "20" "2" "24" "1" "2" "2" "2" "2" "2" "3" "4" "3" "3" "3" "2" "2" "3" "2" "3" "3"
"113" "365" "25" "2" "96" "2" "2" "2" "2" "1" "3" "4" "4" "3" "3" "4" "4" "2" "3" "2" "3" "2"
"114" "372" "20" "2" "48" "2" "2" "2" "2" "2" "2" "4" "3" "3" "3" "4" "3" "3" "1" "1" "3" "3"
"115" "366" "19" "2" "2" "2" "2" "2" "2" "1" "3" "4" "4" "3" "3" "3" "1" "2" "2" "3" "3" "2"
"116" "373" "45" "1" "336" "3" "2" "1" "2" "1" "5" "3" "4" "4" "3" "4" "4" "4" "4" "4" "4" "3"
"117" "374" "21" "2" "36" "2" "2" "2" "1" "2" "2" "4" "4" "2" "3" "1" "1" "1" "2" "1" "2" "2"
"118" "375" "46" "1" "348" "2" "2" "1" "1" "1" "2" "3" "4" "4" "1" "4" "4" "4" "3" "3" "3" "3"
"119" "376" "66" "2" "588" "2" "1" "1" "2" "1" "2" "3" "4" "3" "3" "3" "4" "3" "3" "3" "1" "3"
"120" "381" "72" "2" "660" "3" "2" "2" "3" "2" "5" "4" "4" "4" "4" "4" "4" "4" "4" "4" "3" "3"
"121" "379" "50" "1" "396" "3" "2" "2" "2" "1" "5" "4" "4" "4" "4" "4" "4" "4" "3" "3" "2" "2"
"122" "382" "28" "1" "120" "3" "2" "2" "2" "1" "4" "4" "3" "4" "4" "2" "4" "2" "3" "3" "4" "2"
"123" "157" "55" "2" "444" "3" "2" "2" "2" "1" "1" "3" "4" "3" "3" "4" "4" "3" "3" "3" "2" "3"
"124" "158" "39" "1" "264" "3" "1" "1" "3" "2" "1" "3" "4" "3" "4" "4" "2" "2" "3" "3" "3" "2"
"125" "159" "20" "1" "24" "2" "2" "2" "3" "2" "4" "4" "3" "4" "4" "3" "2" "2" "3" "1" "3" "2"
"126" "160" "19" "2" "12" "1" "2" "1" "2" "2" "3" "3" "4" "3" "3" "4" "4" "4" "2" "2" "2" "2"
"127" "161" "60" "2" "504" "3" "1" "1" "3" "1" "1" "3" "3" "3" "3" "3" "1" "3" "1" "3" "1" "2"
"128" "162" "25" "1" "84" "1" "2" "2" "1" "1" "1" "3" "4" "4" "3" "3" "2" "3" "3" "2" "2" "2"
"129" "163" "48" "1" "228" "2" "2" "2" "1" "1" "5" "4" "4" "3" "3" "4" "3" "3" "3" "3" "3" "2"
"130" "164" "23" "2" "60" "3" "2" "2" "3" "2" "3" "3" "4" "3" "3" "4" "3" "3" "2" "2" "2" "1"
"131" "167" "36" "1" "216" "1" "2" "2" "2" "2" "1" "3" "4" "3" "3" "4" "4" "3" "3" "3" "2" "4"
"132" "168" "32" "1" "180" "1" "2" "2" "2" "1" "5" "3" "4" "3" "4" "4" "4" "3" "3" "3" "3" "2"
"133" "169" "23" "1" "60" "1" "2" "2" "2" "2" "4" "3" "4" "4" "3" "3" "3" "3" "3" "3" "3" "4"
"134" "170" "19" "2" "24" "1" "2" "2" "2" "1" "1" "4" "4" "2" "4" "4" "3" "3" "1" "2" "3" "1"
"135" "171" "21" "2" "24" "2" "2" "1" "2" "1" "1" "4" "4" "3" "3" "4" "2" "2" "3" "1" "1" "1"
"136" "175" "26" "2" "108" "2" "2" "2" "3" "2" "2" "3" "4" "3" "4" "2" "2" "3" "3" "1" "1" "2"
"137" "176" "21" "1" "24" "1" "2" "2" "2" "1" "5" "3" "4" "4" "4" "4" "2" "3" "3" "1" "2" "2"
"138" "177" "18" "2" "6" "2" "2" "2" "2" "2" "2" "3" "4" "4" "4" "4" "3" "3" "4" "2" "2" "2"
"139" "178" "27" "2" "120" "1" "2" "2" "1" "1" "3" "4" "4" "3" "3" "4" "2" "2" "2" "1" "3" "2"
"140" "179" "35" "1" "204" "1" "2" "1" "2" "1" "5" "3" "4" "4" "3" "4" "2" "4" "4" "2" "2" "3"
"141" "180" "18" "1" "10" "2" "2" "1" "1" "2" "3" "4" "3" "3" "2" "2" "2" "1" "1" "3" "1" "1"
"142" "181" "23" "1" "60" "3" "2" "1" "1" "2" "1" "4" "4" "4" "4" "4" "3" "3" "3" "2" "3" "2"
"143" "182" "20" "1" "36" "1" "2" "2" "1" "1" "1" "4" "4" "3" "4" "4" "4" "3" "3" "3" "2" "3"
"144" "183" "22" "2" "48" "1" "2" "2" "2" "2" "3" "4" "4" "4" "4" "4" "3" "3" "3" "4" "2" "3"
"145" "184" "19" "2" "12" "1" "2" "2" "1" "1" "4" "3" "4" "4" "4" "4" "2" "3" "3" "1" "2" "3"
"146" "185" "32" "1" "168" "2" "1" "2" "3" "2" "1" "3" "4" "3" "3" "4" "3" "2" "3" "3" "1" "2"
"147" "186" "19" "1" "12" "1" "2" "2" "2" "1" "4" "3" "4" "3" "3" "4" "2" "3" "2" "2" "1" "1"
"148" "187" "21" "1" "36" "2" "2" "2" "2" "1" "1" "3" "4" "4" "3" "4" "3" "3" "3" "2" "2" "1"
"149" "189" "63" "2" "516" "3" "2" "1" "3" "2" "1" "2" "4" "4" "4" "4" "3" "1" "3" "4" "2" "3"
"150" "190" "42" "2" "288" "2" "2" "1" "3" "2" "1" "4" "4" "3" "2" "3" "4" "4" "4" "3" "4" "3"
"151" "52" "28" "2" "132" "2" "2" "2" "2" "2" "2" "3" "4" "3" "3" "3" "3" "3" "3" "4" "2" "2"
"152" "55" "25" "1" "60" "1" "2" "2" "2" "2" "1" "3" "4" "4" "4" "4" "3" "2" "3" "2" "4" "4"
"153" "58" "25" "1" "84" "1" "1" "2" "2" "1" "1" "4" "4" "3" "4" "4" "3" "2" "2" "4" "1" "1"
"154" "60" "50" "1" "396" "3" "2" "1" "3" "2" "5" "3" "3" "3" "3" "4" "3" "2" "3" "3" "4" "3"
"155" "63" "55" "1" "456" "2" "2" "2" "2" "2" "1" "4" "4" "4" "2" "4" "1" "3" "2" "2" "1" "1"
"156" "65" "49" "1" "384" "3" "1" "2" "2" "2" "6" "3" "3" "1" "3" "4" "4" "3" "3" "1" "1" "1"
"157" "67" "18" "2" "4" "3" "2" "2" "4" "2" "2" "3" "4" "3" "3" "3" "2" "2" "2" "2" "1" "1"
"158" "68" "18" "2" "12" "2" "2" "1" "2" "1" "1" "3" "4" "3" "4" "4" "2" "3" "3" "1" "2" "3"
"159" "69" "49" "1" "360" "3" "2" "2" "4" "1" "4" "3" "4" "4" "4" "3" "3" "2" "3" "3" "1" "2"
"160" "70" "46" "1" "372" "1" "2" "1" "3" "2" "1" "3" "3" "2" "2" "4" "4" "4" "4" "3" "3" "3"
"161" "71" "24" "1" "60" "1" "2" "2" "2" "1" "4" "4" "4" "4" "4" "4" "4" "3" "3" "4" "3" "3"
"162" "72" "37" "2" "264" "2" "1" "2" "3" "2" "2" "2" "4" "2" "3" "2" "2" "3" "4" "3" "1" "1"
"163" "73" "22" "2" "48" "3" "2" "2" "2" "2" "1" "3" "3" "3" "3" "3" "4" "3" "2" "2" "1" "1"
"164" "74" "35" "2" "24" "2" "1" "2" "2" "2" "2" "3" "4" "4" "3" "4" "2" "1" "3" "3" "1" "1"
"165" "191" "61" "1" "360" "3" "2" "2" "3" "2" "6" "3" "4" "3" "2" "4" "4" "2" "3" "4" "3" "2"
"166" "192" "67" "2" "420" "2" "2" "1" "2" "1" "3" "4" "4" "4" "4" "4" "3" "3" "3" "4" "2" "2"
"167" "193" "32" "2" "204" "3" "2" "1" "2" "2" "5" "3" "4" "2" "3" "4" "4" "3" "3" "3" "2" "2"
"168" "194" "34" "1" "192" "3" "2" "1" "1" "1" "1" "3" "4" "4" "4" "4" "3" "3" "3" "3" "3" "3"
"169" "195" "42" "2" "264" "2" "2" "1" "3" "2" "2" "4" "4" "3" "3" "2" "4" "2" "3" "2" "3" "1"
"170" "196" "60" "1" "408" "1" "2" "2" "1" "1" "1" "3" "4" "4" "4" "4" "3" "3" "3" "3" "1" "1"
"171" "197" "21" "1" "24" "3" "2" "1" "4" "2" "1" "4" "4" "4" "4" "4" "2" "2" "4" "2" "2" "2"
"172" "198" "28" "2" "120" "1" "2" "2" "4" "2" "6" "4" "4" "3" "3" "2" "2" "3" "4" "2" "3" "2"
"173" "199" "19" "1" "24" "2" "2" "2" "1" "1" "2" "4" "4" "3" "3" "3" "2" "3" "2" "1" "3" "2"
"174" "200" "27" "1" "108" "3" "2" "2" "4" "1" "2" "3" "4" "3" "3" "4" "3" "3" "3" "2" "2" "2"
"175" "202" "43" "1" "312" "1" "2" "2" "3" "1" "6" "4" "4" "4" "3" "3" "4" "4" "3" "3" "3" "4"
"176" "204" "18" "1" "6" "3" "2" "2" "1" "1" "1" "4" "4" "4" "4" "4" "3" "3" "3" "2" "3" "3"
"177" "205" "73" "2" "588" "2" "2" "2" "2" "2" "3" "4" "4" "2" "4" "4" "4" "3" "3" "3" "2" "3"
"178" "206" "29" "1" "48" "2" "2" "2" "4" "1" "1" "2" "4" "4" "3" "4" "3" "3" "3" "2" "2" "3"
"179" "207" "74" "2" "684" "3" "2" "2" "3" "2" "2" "3" "4" "4" "2" "3" "4" "2" "4" "4" "2" "3"
"180" "208" "47" "1" "192" "2" "2" "2" "2" "2" "5" "4" "4" "4" "4" "4" "4" "3" "4" "4" "3" "4"
"181" "209" "50" "1" "360" "2" "2" "2" "2" "1" "1" "2" "4" "4" "4" "4" "4" "4" "4" "4" "4" "2"
"182" "210" "38" "1" "216" "2" "2" "1" "1" "1" "1" "3" "4" "4" "3" "4" "4" "4" "3" "4" "2" "2"
"183" "211" "18" "2" "7" "2" "2" "1" "3" "2" "3" "4" "4" "3" "3" "3" "3" "2" "3" "3" "2" "2"
"184" "212" "71" "1" "600" "2" "2" "2" "2" "2" "6" "3" "4" "4" "4" "4" "4" "4" "4" "2" "2" "2"
"185" "213" "45" "1" "336" "1" "2" "2" "1" "1" "4" "4" "4" "4" "4" "3" "3" "3" "3" "1" "1" "3"
"186" "214" "50" "1" "276" "1" "2" "1" "2" "2" "1" "4" "4" "3" "4" "4" "3" "3" "3" "3" "2" "3"
"187" "215" "45" "1" "324" "1" "2" "2" "1" "1" "1" "4" "4" "4" "4" "4" "4" "3" "3" "2" "2" "2"
"188" "216" "48" "1" "288" "1" "2" "2" "1" "1" "5" "3" "4" "3" "4" "4" "4" "3" "2" "3" "1" "3"
"189" "217" "24" "1" "72" "1" "2" "2" "2" "2" "5" "4" "4" "4" "3" "4" "4" "4" "4" "4" "2" "1"
"190" "218" "18" "1" "2" "2" "2" "1" "1" "1" "3" "4" "4" "4" "4" "3" "2" "2" "3" "1" "1" "1"
"191" "219" "49" "2" "372" "3" "2" "1" "3" "2" "4" "2" "4" "4" "2" "4" "4" "1" "4" "3" "3" "1"
"192" "220" "27" "2" "108" "1" "2" "1" "3" "1" "6" "1" "4" "4" "1" "4" "4" "4" "4" "1" "2" "4"
"193" "221" "43" "1" "288" "3" "2" "2" "2" "2" "1" "3" "3" "3" "4" "4" "1" "3" "3" "3" "2" "3"
"194" "222" "18" "2" "10" "2" "2" "2" "2" "1" "2" "3" "4" "3" "3" "4" "2" "3" "3" "3" "2" "2"
"195" "223" "24" "2" "72" "1" "1" "2" "2" "2" "6" "3" "3" "4" "3" "3" "2" "2" "3" "3" "3" "2"
"196" "224" "19" "1" "12" "1" "2" "2" "2" "1" "2" "3" "4" "4" "4" "4" "4" "3" "3" "3" "2" "2"
"197" "228" "46" "2" "348" "3" "2" "1" "2" "1" "3" "3" "4" "3" "3" "4" "3" "1" "2" "4" "2" "2"
"198" "230" "38" "1" "240" "1" "2" "2" "1" "1" "2" "3" "4" "4" "3" "4" "3" "4" "4" "2" "1" "1"
"199" "233" "48" "1" "336" "2" "2" "1" "2" "1" "4" "3" "4" "4" "3" "4" "4" "4" "3" "3" "3" "3"
"200" "235" "26" "1" "96" "3" "2" "2" "3" "2" "5" "3" "4" "4" "4" "4" "3" "3" "4" "4" "3" "2"
"201" "236" "46" "1" "264" "2" "2" "2" "2" "2" "6" "3" "4" "4" "4" "3" "4" "3" "3" "1" "3" "2"
"202" "238" "68" "2" "420" "2" "1" "2" "2" "2" "2" "4" "4" "3" "3" "3" "4" "4" "3" "3" "1" "3"
"203" "239" "67" "2" "600" "3" "2" "2" "3" "2" "6" "4" "4" "4" "4" "4" "2" "4" "4" "4" "3" "2"
"204" "240" "21" "2" "36" "3" "2" "2" "3" "2" "4" "4" "4" "4" "2" "3" "4" "1" "3" "3" "3" "1"
"205" "75" "51" "1" "420" "1" "2" "2" "2" "2" "1" "1" "3" "2" "3" "4" "3" "3" "2" "3" "1" "4"
